,date_and_time,province,supermarket,how_often_do_you_shop_at_supermarkets?,what_is_your_age_group?,what_is_your_gender?,what_is_your_occupation?,how_long_do_you_usually_spend_per_supermarket_visit?,"on_average,_how_much_do_you_spend_per_visit?",rate_the_following_aspects_of_your_preferred_supermarket:___[product_quality],rate_the_following_aspects_of_your_preferred_supermarket:___[product_availability],rate_the_following_aspects_of_your_preferred_supermarket:___[price_fairness],rate_the_following_aspects_of_your_preferred_supermarket:___[staff_friendliness],rate_the_following_aspects_of_your_preferred_supermarket:___[store_cleanliness],rate_the_following_aspects_of_your_preferred_supermarket:___[checkout_speed],rate_the_following_aspects_of_your_preferred_supermarket:___[parking_convenience],overall_satisfaction,how_likely_are_you_to_recommend_this_supermarket_to_others?,how_long_have_you_been_shopping_at_this_supermarket?,do_you_have_a_loyalty/reward_card_for_this_supermarket?,how_often_do_you_return_to_the_same_supermarket?,have_you_ever_faced_any_issues_or_complaints_at_this_supermarket?,"if_yes,_how_was_your_issue_resolved?",what_improvements_would_you_like_to_see_in_your_supermarket?,any_comments_or_suggestions_for_improving_customer_satisfaction?,consent_to_participate
count,103,103,103,103,103,103,103,103,103,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103,103,103,103,103,103,103,103,103
unique,103,9,11,5,4,2,6,4,5,,,,,,,,,10,4,2,4,2,11,20,17,2
top,10/13/2025 20:21,Southern Province,Cargills Food City,Weekly,26-35,Male,Employed (Full-time),15-30 minutes,"Rs. 2,501-5,000",,,,,,,,,8,1-3 years,No,Sometimes,No,-,-,-,I voluntarily agree to take part in this survey. My responses are confidential and used for academic and research purposes only.
freq,1,30,44,30,37,56,47,39,46,,,,,,,,,32,31,55,35,81,90,78,83,99
mean,,,,,,,,,,3.3980582524271843,3.3106796116504853,3.116504854368932,2.9029126213592233,3.0097087378640777,2.9805825242718447,3.058252427184466,3.8058252427184467,,,,,,,,,
std,,,,,,,,,,1.1660205983553948,1.1884173543455399,1.0691848725280726,0.9446917030750018,1.0709638835296278,0.989955262648038,1.1098952672587026,0.8638519801854273,,,,,,,,,
min,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
25%,,,,,,,,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,
50%,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,,,,,,,,
75%,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,
max,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,
